[1.9999987662992154, 0.000499999897191573]
[1.999995065194049, 0.0009999991775314356]
[1.9999888966760628, 0.0014999972241621364]
[1.9999802607311927, 0.0019999934202147413]
[1.9999691573397496, 0.0024999871488030935]
[1.9999555864764174, 0.0029999777930180675]
[1.9999395481102547, 0.0034999647359218317]
[1.9999210422046922, 0.003999947360542102]
[1.9999000687175355, 0.004499925049866398]
[1.9998766276009596, 0.004999897186836297]
[1.9998507188015135, 0.00549986315434169]
[1.9998223422601165, 0.005999822335215039]
[1.9997914979120577, 0.006499774112225609]
[1.9997581856869968, 0.00699971786807374]
[1.9997224055089617, 0.007499652985385084]
[1.9996841572963473, 0.007999578846704849]
[1.9996434409619148, 0.00849949483449205]
[1.9996002564127926, 0.00899940033111374]
[1.999554603550472, 0.009499294718839263]
[1.9995064822708086, 0.009999177379834473]
[1.9994558924640182, 0.010499047696155991]
[1.9994028340146786, 0.010998905049745421]
[1.999347306801726, 0.011498748822423579]
[1.999289310698454, 0.011998578395884722]
[1.9992288455725122, 0.012498393151690776]
[1.9991659112859044, 0.012998192471265546]
[1.999100507694987, 0.013497975735888935]
[1.9990326346504665, 0.01399774232669116]
[1.998962291997399, 0.014497491624646953]
[1.9988894795751873, 0.014997223010569773]
[1.9988141972175786, 0.015496935865106004]
[1.9987364447526632, 0.015996629568729152]
[1.9986562220028723, 0.01649630350173403]
[1.9985735287849746, 0.01699595704423095]
[1.9984883649100762, 0.017495589576139926]
[1.9984007301836153, 0.017995200477184812]
[1.9983106244053628, 0.018494789126887505]
[1.998218047369417, 0.01899435490456211]
[1.9981229988642037, 0.01949389718930909]
[1.9980254786724707, 0.019993415360009426]
[1.9979254865712885, 0.020492908795318787]
[1.9978230223320435, 0.020992376873661667]
[1.997718085720438, 0.021491818973225506]
[1.9976106764964865, 0.02199123447195486]
[1.9975007944145127, 0.022490622747545503]
[1.9973884392231454, 0.022989983177438545]
[1.9972736106653175, 0.023489315138814585]
[1.9971563084782609, 0.023988618008587783]
[1.9970365323935035, 0.02448789116339997]
[1.9969142821368664, 0.02498713397961476]
[1.9967895574284595, 0.025486345833311625]
[1.99666235798268, 0.025985526100279977]
[1.996532683508206, 0.026484674156013247]
[1.9964005337079944, 0.02698378937570296]
[1.9962659082792775, 0.027482871134232766]
[1.9961288069135585, 0.027981918806172526]
[1.9959892292966066, 0.02848093176577234]
[1.9958471751084557, 0.028979909386956573]
[1.995702644023398, 0.029478851043317895]
[1.995555635709981, 0.0299777561081113]
[1.9954061498310032, 0.030476623954248116]
[1.9952541860435085, 0.03097545395429]
[1.9950997439987839, 0.031474245480442926]
[1.9949428233423536, 0.03197299790455122]
[1.9947834237139759, 0.03247171059809143]
[1.9946215447476372, 0.032970382932166406]
[1.9944571860715479, 0.03346901427749917]
[1.994290347308137, 0.03396760400442691]
[1.99412102807405, 0.034466151482894926]
[1.99394922798014, 0.03496465608245049]
[1.9937749466314663, 0.035463117172236845]
[1.9935981836272865, 0.035961534120987064]
[1.9934189385610541, 0.03645990629701794]
[1.9932372110204113, 0.03695823306822389]
[1.9930530005871845, 0.03745651380207083]
[1.9928663068373795, 0.03795474786559005]
[1.992677129341175, 0.03845293462537205]
[1.9924854676629176, 0.03895107344756032]
[1.9922913213611162, 0.03944916369784532]
[1.9920946899884375, 0.03994720474145815]
[1.9918955730916987, 0.04044519594316443]
[1.9916939702118615, 0.04094313666725811]
[1.9914898808840278, 0.04144102627755521]
[1.9912833046374334, 0.041938864137387566]
[1.9910742409954407, 0.042436649609596686]
[1.990862689475534, 0.04293438205652739]
[1.990648649589312, 0.04343206084002163]
[1.9904321208424838, 0.04392968532141214]
[1.9902131027348593, 0.044427254861516205]
[1.9899915947603464, 0.04492476882062925]
[1.9897675964069415, 0.04542222655851867]
[1.9895411071567237, 0.045919627434417375]
[1.9893121264858504, 0.0464169708070175]
[1.9890806538645471, 0.04691425603446404]
[1.988846688757103, 0.04741148247434842]
[1.988610230621863, 0.04790864948370222]
[1.9883712789112218, 0.048405756418990635]
[1.9881298330716157, 0.04890280263610617]
[1.9878858925435154, 0.04939978749036214]
[1.9876394567614197, 0.04989671033648622]
[1.9873905251538477, 0.050393570528614054]
[1.9871390971433325, 0.050890367420282696]
[1.986885172146411, 0.051387100364424135]
[1.9866287495736195, 0.051883768713358806]
[1.9863698288294835, 0.052380371818789066]
[1.986108409312513, 0.0528769090317926]
[1.9858444904151915, 0.053373379702815964]
[1.9855780715239701, 0.0538697831816679]
[1.9853091520192587, 0.054366118817512785]
[1.9850377312754188, 0.054862385958864064]
[1.9847638086607542, 0.05535858395357759]
[1.9844873835375039, 0.055854712148844965]
[1.984208455261833, 0.056350769891186925]
[1.9839270231838255, 0.056846756526446586]
[1.9836430866474741, 0.05734267139978287]
[1.9833566449906732, 0.057838513855663666]
[1.983067697545209, 0.0583342832378592]
[1.9827762436367526, 0.05882997888943521]
[1.982482282584849, 0.05932560015274623]
[1.98218581370291, 0.059821146369428785]
[1.9818868362982038, 0.06031661688039457]
[1.9815853496718479, 0.06081201102582366]
[1.9812813531187974, 0.06130732814515762]
[1.9809748459278376, 0.061802567577092696]
[1.9806658273815743, 0.0622977286595729]
[1.9803542967564238, 0.06279281072978311]
[1.980040253322605, 0.06328781312414217]
[1.9797236963441276, 0.06378273517829587]
[1.979404625078784, 0.06427757622711008]
[1.979083038778139, 0.06477233560466376]
[1.9787589366875198, 0.0652670126442419]
[1.978432318046007, 0.06576160667832845]
[1.9781031820864228, 0.06625611703859943]
[1.9777715280353232, 0.06675054305591574]
[1.9774373551129851, 0.06724488406031606]
[1.977100662533399, 0.0677391393810098]
[1.9767614495042551, 0.06823330834636997]
[1.9764197152269363, 0.06872739028392598]
[1.976075458896506, 0.06922138452035642]
[1.9757286797016966, 0.069715290381482]
[1.975379376824901, 0.07020910719225816]
[1.975027549442159, 0.07070283427676795]
[1.9746731967231492, 0.07119647095821466]
[1.9743163178311751, 0.0716900165589146]
[1.9739569119231561, 0.07218347040028977]
[1.973594978149616, 0.07267683180286043]
[1.9732305156546694, 0.0731701000862379]
[1.9728635235760146, 0.07366327456911695]
[1.9724940010449181, 0.07415635456926857]
[1.9721219471862053, 0.07464933940353247]
[1.9717473611182468, 0.07514222838780951]
[1.9713702419529486, 0.07563502083705434]
[1.97099058879574, 0.07612771606526787]
[1.9706084007455593, 0.07662031338548965]
[1.9702236768948451, 0.07711281210979036]
[1.9698364163295219, 0.07760521154926418]
[1.969446618128987, 0.07809751101402117]
[1.9690542813661014, 0.07858970981317964]
[1.9686594051071737, 0.07908180725485846]
[1.96826198841195, 0.07957380264616933]
[1.9678620303336012, 0.08006569529320909]
[1.967459529918707, 0.08055748450105193]
[1.967054486207247, 0.08104916957374161]
[1.9666468982325858, 0.08154074981428368]
[1.9662367650214605, 0.0820322245246375]
[1.9658240855939666, 0.08252359300570851]
[1.9654088589635457, 0.08301485455734031]
[1.9649910841369707, 0.08350600847830665]
[1.9645707601143343, 0.08399705406630353]
[1.964147885889034, 0.08448799061794117]
[1.9637224604477583, 0.08497881742873598]
[1.9632944827704741, 0.08546953379310258]
[1.9628639518304107, 0.08596013900434561]
[1.9624308665940486, 0.08645063235465175]
[1.9619952260211027, 0.08694101313508144]
[1.961557029064509, 0.08743128063556074]
[1.961116274670411, 0.08792143414487316]
[1.9606729617781444, 0.08841147295065137]
[1.9602270893202227, 0.08890139633936897]
[1.959778656222322, 0.08939120359633215]
[1.959327661403268, 0.0898808940056714]
[1.958874103775019, 0.09037046685033305]
[1.9584179822426513, 0.09085992141207096]
[1.9579592957043448, 0.09134925697143799]
[1.9574980430513678, 0.0918384728077776]
[1.9570342231680613, 0.09232756819921534]
[1.9565678349318234, 0.09281654242265021]
[1.9560988772130936, 0.09330539475374622]
[1.9556273488753377, 0.09379412446692371]
[1.9551532487750316, 0.09428273083535066]
[1.9546765757616456, 0.0947712131309341]
[1.9541973286776275, 0.0952595706243113]
[1.9537155063583882, 0.0957478025848411]
[1.9532311076322837, 0.09623590828059501]
[1.9527441313205998, 0.09672388697834854]
[1.9522545762375347, 0.09721173794357217]
[1.951762441190184, 0.0976994604404225]
[1.9512677249785206, 0.0981870537317334]
[1.9507704263953831, 0.09867451707900692]
